Page,PageType,ContentStatus,VisualStatus,RendererStatus,PDFStatus,SourcePath,RendererPath,RendererCommit,PDFFileName,PDF_SHA256,ApprovedDate,Notes
P001,READING_ACQUISITION,RECOVERED_SOURCE,ANCHOR_CANDIDATE,KFGQPC_CURRENT,REVIEW_REQUIRED,books/jilid-1/recovery/pages/QJ1-P001.md,tools/render_qurbata_jilid1_p001_print_anchor_v1.py,,QURBATA-JILID-1-P001.pdf,,,First page to approve against shared P017 visual anchor
P002,READING_ACQUISITION,RECOVERY_REGISTERED,PENDING,PENDING,NOT_FROZEN,,,,,,,Use shared visual system after P001 approval
P003,READING_ACQUISITION,RECOVERY_REGISTERED,PENDING,PENDING,NOT_FROZEN,,,,,,,
P004,READING_ACQUISITION,RECOVERY_REGISTERED,PENDING,PENDING,NOT_FROZEN,,,,,,,
P005,READING_ACQUISITION,RECOVERY_REGISTERED,PENDING,PENDING,NOT_FROZEN,,,,,,,
P006,READING_ACQUISITION,RECOVERY_REGISTERED,PENDING,PENDING,NOT_FROZEN,,,,,,,
P007,READING_ACQUISITION,RECOVERY_REGISTERED,PENDING,PENDING,NOT_FROZEN,,,,,,,
P008,READING_ACQUISITION,RECOVERY_REGISTERED,PENDING,PENDING,NOT_FROZEN,,,,,,,
P009,READING_ACQUISITION,RECOVERY_REGISTERED,PENDING,PENDING,NOT_FROZEN,,,,,,,
P010,READING_ACQUISITION,RECOVERY_REGISTERED,PENDING,PENDING,NOT_FROZEN,,,,,,,
P011,READING_ACQUISITION,RECOVERY_REGISTERED,PENDING,PENDING,NOT_FROZEN,,,,,,,
P012,READING_ACQUISITION,RECOVERY_REGISTERED,PENDING,PENDING,NOT_FROZEN,,,,,,,
P013,READING_ACQUISITION,RECOVERY_REGISTERED,PENDING,PENDING,NOT_FROZEN,,,,,,,
P014,READING_ACQUISITION,RECOVERY_REGISTERED,PENDING,PENDING,NOT_FROZEN,,,,,,,
P015,READING_ACQUISITION,RECOVERY_REGISTERED,PENDING,PENDING,NOT_FROZEN,,,,,,,
P016,READING_ACQUISITION,RECOVERY_REGISTERED,PENDING,PENDING,NOT_FROZEN,,,,,,,
P017,READING_ACQUISITION,RECOVERY_REGISTERED,PENDING,PENDING,NOT_FROZEN,,,,,,,
P018,HAFALAN,RECOVERY_REGISTERED,PENDING,PENDING,NOT_FROZEN,,,,,,,Special page type; do not force reading grid
P019,READING_ACQUISITION,RECOVERY_REGISTERED,PENDING,PENDING,NOT_FROZEN,,,,,,,
P020,ASSESSMENT,RECOVERY_REGISTERED,PENDING,PENDING,NOT_FROZEN,,,,,,,Assessment-specific layout
P021,READING_ACQUISITION,RECOVERY_REGISTERED,PENDING,PENDING,NOT_FROZEN,,,,,,,
P022,READING_ACQUISITION,RECOVERY_REGISTERED,PENDING,PENDING,NOT_FROZEN,,,,,,,
P023,READING_ACQUISITION,RECOVERY_REGISTERED,PENDING,PENDING,NOT_FROZEN,,,,,,,
P024,READING_REVIEW,RECOVERY_REGISTERED,PENDING,PENDING,NOT_FROZEN,,,,,,,
P025,READING_REVIEW,RECOVERY_REGISTERED,PENDING,PENDING,NOT_FROZEN,,,,,,,
P026,READING_ACQUISITION,RECOVERY_REGISTERED,PENDING,PENDING,NOT_FROZEN,,,,,,,
P027,READING_ACQUISITION,RECOVERY_REGISTERED,PENDING,PENDING,NOT_FROZEN,,,,,,,
P028,ARABIC_UNIT,RECOVERY_REGISTERED,PENDING,PENDING,NOT_FROZEN,,,,,,,Special oral Arabic unit; do not force reading grid
P029,READING_ACQUISITION,RECOVERY_REGISTERED,PENDING,PENDING,NOT_FROZEN,,,,,,,
P030,ASSESSMENT,RECOVERY_REGISTERED,PENDING,PENDING,NOT_FROZEN,,,,,,,Assessment-specific layout
P031,READING_ACQUISITION,RECOVERY_REGISTERED,PENDING,PENDING,NOT_FROZEN,,,,,,,
P032,READING_ACQUISITION,RECOVERY_REGISTERED,PENDING,PENDING,NOT_FROZEN,,,,,,,
P033,READING_ACQUISITION,RECOVERY_REGISTERED,PENDING,PENDING,NOT_FROZEN,,,,,,,
P034,READING_REVIEW,RECOVERY_REGISTERED,PENDING,PENDING,NOT_FROZEN,,,,,,,
P035,READING_REVIEW,RECOVERY_REGISTERED,PENDING,PENDING,NOT_FROZEN,,,,,,,
P036,HAFALAN,RECOVERY_REGISTERED,PENDING,PENDING,NOT_FROZEN,,,,,,,Special page type; do not force reading grid
P037,READING_REVIEW,RECOVERY_REGISTERED,PENDING,PENDING,NOT_FROZEN,,,,,,,
P038,AKHLAK,RECOVERY_REGISTERED,PENDING,PENDING,NOT_FROZEN,,,,,,,Special page type; preserve visual identity only
P039,SIMULATION,RECOVERY_REGISTERED,PENDING,PENDING,NOT_FROZEN,,,,,,,Simulation-specific layout
P040,ASSESSMENT,RECOVERY_REGISTERED,PENDING,PENDING,NOT_FROZEN,,,,,,,Final assessment; no new reading material
