QLO_ID,Text,NormalizedText,SourceRef,TargetCompetency,RequiredCompetencies,CumulativeCompetencies,DifficultyScore,AllowedFromJilid,AllowedFromPage,ReviewPriority,SourceType,Orthography,Status,Notes
QLO-000001,بِسْمِ,بِسْمِ,1:1,QT-U-016,"QT-U-001;QT-U-002;QT-U-003;QT-U-008","QT-U-001;QT-U-002;QT-U-003;QT-U-008;QT-U-016",9,3,7,90,QURAN_VERIFIED,NORMALIZED_ARABIC,ACTIVE,"Kata utuh; mengandung sukun pada س"
QLO-000002,اللَّهِ,اللَّهِ,1:1,QT-U-021,"QT-U-001;QT-U-002;QT-U-003;QT-U-008;QT-U-012;QT-U-016;QT-U-020","QT-U-001;QT-U-002;QT-U-003;QT-U-008;QT-U-012;QT-U-016;QT-U-020;QT-U-021",19,5,1,60,QURAN_VERIFIED,NORMALIZED_ARABIC,ACTIVE,"Lafzh al-jalalah; alif-lam dan tasydid"
QLO-000003,الرَّحْمَٰنِ,الرَّحْمَانِ,1:1,QT-U-022,"QT-U-001;QT-U-002;QT-U-003;QT-U-008;QT-U-012;QT-U-016;QT-U-020;QT-U-021","QT-U-001;QT-U-002;QT-U-003;QT-U-008;QT-U-012;QT-U-016;QT-U-020;QT-U-021;QT-U-022",22,5,6,55,QURAN_VERIFIED,NORMALIZED_ARABIC,ACTIVE,"Alif-lam, tasydid, sukun, dan mad"
QLO-000004,الرَّحِيمِ,الرَّحِيمِ,1:1,QT-U-022,"QT-U-001;QT-U-002;QT-U-003;QT-U-008;QT-U-013;QT-U-016;QT-U-020;QT-U-021","QT-U-001;QT-U-002;QT-U-003;QT-U-008;QT-U-013;QT-U-016;QT-U-020;QT-U-021;QT-U-022",21,5,6,55,QURAN_VERIFIED,NORMALIZED_ARABIC,ACTIVE,"Alif-lam, tasydid, sukun, dan mad ya"
QLO-000005,الْحَمْدُ,الْحَمْدُ,1:2,QT-U-020,"QT-U-001;QT-U-002;QT-U-003;QT-U-008;QT-U-016","QT-U-001;QT-U-002;QT-U-003;QT-U-008;QT-U-016;QT-U-020",15,4,12,75,QURAN_VERIFIED,NORMALIZED_ARABIC,ACTIVE,"Alif-lam qamariyah dan dua sukun"
QLO-000006,لِلَّهِ,لِلَّهِ,1:2,QT-U-021,"QT-U-001;QT-U-002;QT-U-003;QT-U-008;QT-U-012;QT-U-016;QT-U-020","QT-U-001;QT-U-002;QT-U-003;QT-U-008;QT-U-012;QT-U-016;QT-U-020;QT-U-021",20,5,1,60,QURAN_VERIFIED,NORMALIZED_ARABIC,ACTIVE,"Lam jar bertemu lafzh al-jalalah"
QLO-000007,رَبِّ,رَبِّ,1:2,QT-U-019,"QT-U-001;QT-U-002;QT-U-003;QT-U-008;QT-U-018","QT-U-001;QT-U-002;QT-U-003;QT-U-008;QT-U-018;QT-U-019",14,5,1,70,QURAN_VERIFIED,NORMALIZED_ARABIC,ACTIVE,"Tasydid pada ب"
QLO-000008,الْعَالَمِينَ,الْعَالَمِينَ,1:2,QT-U-023,"QT-U-001;QT-U-002;QT-U-003;QT-U-008;QT-U-012;QT-U-013;QT-U-016;QT-U-018;QT-U-020","QT-U-001;QT-U-002;QT-U-003;QT-U-008;QT-U-012;QT-U-013;QT-U-016;QT-U-018;QT-U-020;QT-U-023",23,6,1,50,QURAN_VERIFIED,NORMALIZED_ARABIC,ACTIVE,"Kata panjang; alif-lam; mad alif dan ya"
QLO-000009,مَالِكِ,مَالِكِ,1:4,QT-U-012,"QT-U-001;QT-U-002;QT-U-003;QT-U-008","QT-U-001;QT-U-002;QT-U-003;QT-U-008;QT-U-012",10,3,3,88,QURAN_VERIFIED,NORMALIZED_ARABIC,ACTIVE,"Mad fathah dengan alif dalam kata utuh"
QLO-000010,يَوْمِ,يَوْمِ,1:4,QT-U-024,"QT-U-001;QT-U-002;QT-U-003;QT-U-008;QT-U-016","QT-U-001;QT-U-002;QT-U-003;QT-U-008;QT-U-016;QT-U-024",13,4,18,72,QURAN_VERIFIED,NORMALIZED_ARABIC,ACTIVE,"Wawu layyin dengan sukun"
