QWO_ID,ObjectType,ArabicTextUthmani,ArabicTextNormalized,Surah,Ayah,WordPosition,OccurrenceFrequency,LetterCount,FeatureTags,TargetCompetency,RequiredCompetencies,CumulativeCompetencies,DifficultyScore,PedagogicalScore,AllowedFromJilid,AllowedFromPage,ReviewWeight,SourceType,SourceStatus,ReusePolicy,Status
QWO-000025,QWO,قُلْ,قل,112,1,1,0,2,SUKUN,QT-UK-031,QT-UK-009;QT-UK-012;QT-UK-013,QT-UK-009;QT-UK-012;QT-UK-013;QT-UK-031,34,98,3,1,98,CURATED_QURAN_SEED,QURAN_VERIFIED,UNIQUE_BLOCK_10,REVIEW
QWO-000026,QWO,هُوَ,هو,112,1,2,0,2,SHORT_VOWELS,QT-UK-013,QT-UK-009;QT-UK-012,QT-UK-009;QT-UK-012;QT-UK-013,18,96,2,1,96,CURATED_QURAN_SEED,QURAN_VERIFIED,UNIQUE_BLOCK_10,ACTIVE
QWO-000027,QWO,اللَّهُ,الله,112,2,1,0,4,ALIF_LAM;SHADDA,QT-UK-034,QT-UK-021;QT-UK-023,QT-UK-021;QT-UK-023;QT-UK-034,62,90,5,1,90,CURATED_QURAN_SEED,QURAN_VERIFIED,HOLD,HOLD
QWO-000028,QWO,أَحَدٌ,أحد,112,1,4,0,3,HAMZA;TANWIN_DAMM,QT-UK-020,QT-UK-009;QT-UK-012;QT-UK-013;QT-UK-019,QT-UK-009;QT-UK-012;QT-UK-013;QT-UK-019;QT-UK-020,52,93,4,1,93,CURATED_QURAN_SEED,QURAN_VERIFIED,UNIQUE_BLOCK_10,ACTIVE
QWO-000029,QWO,الصَّمَدُ,الصمد,112,2,2,0,5,ALIF_LAM;SHADDA,QT-UK-034,QT-UK-021;QT-UK-023,QT-UK-021;QT-UK-023;QT-UK-034,68,82,5,1,82,CURATED_QURAN_SEED,QURAN_VERIFIED,HOLD,HOLD
QWO-000030,QWO,خَلَقَ,خلق,96,2,1,0,3,SHORT_VOWELS,QT-UK-009,QT-UK-001;QT-UK-003;QT-UK-007;QT-UK-008,QT-UK-001;QT-UK-003;QT-UK-007;QT-UK-008;QT-UK-009,22,99,2,1,99,CURATED_QURAN_SEED,QURAN_VERIFIED,UNIQUE_BLOCK_10,ACTIVE
QWO-000031,QWO,عَلَقٍ,علق,96,2,4,0,3,TANWIN_KASR,QT-UK-020,QT-UK-009;QT-UK-012;QT-UK-019,QT-UK-009;QT-UK-012;QT-UK-019;QT-UK-020,44,92,4,1,92,CURATED_QURAN_SEED,QURAN_VERIFIED,UNIQUE_BLOCK_10,ACTIVE
QWO-000032,QWO,رَبِّكَ,ربك,96,1,3,0,3,SHADDA,QT-UK-023,QT-UK-009;QT-UK-012;QT-UK-020;QT-UK-022,QT-UK-009;QT-UK-012;QT-UK-020;QT-UK-022;QT-UK-023,58,88,5,1,88,CURATED_QURAN_SEED,QURAN_VERIFIED,HOLD,HOLD
QWO-000033,QWO,نَارٌ,نار,101,11,1,0,3,MAD_ALIF;TANWIN_DAMM,QT-UK-020,QT-UK-011;QT-UK-013;QT-UK-019,QT-UK-011;QT-UK-013;QT-UK-019;QT-UK-020,46,91,4,1,91,CURATED_QURAN_SEED,QURAN_VERIFIED,UNIQUE_BLOCK_10,ACTIVE
QWO-000034,QWO,وَالضُّحَىٰ,والضحى,93,1,1,0,6,WAW_PREFIX;ALIF_LAM;SHADDA;ALIF_MAQSURAH,QT-UK-032,QT-UK-011;QT-UK-013;QT-UK-021;QT-UK-023;QT-UK-033;QT-UK-034,QT-UK-011;QT-UK-013;QT-UK-021;QT-UK-023;QT-UK-032;QT-UK-033;QT-UK-034,78,80,6,1,80,CURATED_QURAN_SEED,QURAN_VERIFIED,HOLD,HOLD
