QWO_ID,ArabicWord,NormalizedWord,Surah,Ayah,TokenPosition,Morphology,TargetCompetency,RequiredCompetencies,CumulativeCompetencies,ReadingPattern,ShapePattern,VisualFamily,Difficulty,ReviewPriority,GeneratorWeight,DuplicateKey,WhitelistLevel,Status,SourceStatus,Notes
QWO-000001,بِسْمِ,بسم,1,1,1,UNRESOLVED,UNMAPPED,,,PENDING,PENDING,ب-س-م,2,4,1.00,بسم,PENDING,REVIEW,PENDING,Al-Fatihah seed occurrence
QWO-000002,اللَّهِ,الله,1,1,2,UNRESOLVED,UNMAPPED,,,PENDING,PENDING,ا-ل-ه,3,5,1.50,الله,PENDING,REVIEW,PENDING,High-priority recurrent form
QWO-000003,الرَّحْمَٰنِ,الرحمن,1,1,3,UNRESOLVED,UNMAPPED,,,PENDING,PENDING,ر-ح-م,4,4,1.00,الرحمن,PENDING,REVIEW,PENDING,Tasydid and dagger-alif review required
QWO-000004,الرَّحِيمِ,الرحيم,1,1,4,UNRESOLVED,UNMAPPED,,,PENDING,PENDING,ر-ح-م,4,4,1.00,الرحيم,PENDING,REVIEW,PENDING,Mad ya mapping required
QWO-000005,الْحَمْدُ,الحمد,1,2,1,UNRESOLVED,UNMAPPED,,,PENDING,PENDING,ح-م-د,3,5,1.40,الحمد,PENDING,REVIEW,PENDING,Sukun and alif-lam mapping required
QWO-000006,لِلَّهِ,لله,1,2,2,UNRESOLVED,UNMAPPED,,,PENDING,PENDING,ل-ه,3,5,1.40,لله,PENDING,REVIEW,PENDING,Prefixed form linked to Allah family
QWO-000007,رَبِّ,رب,1,2,3,UNRESOLVED,UNMAPPED,,,PENDING,PENDING,ر-ب,3,5,1.30,رب,PENDING,REVIEW,PENDING,Tasydid mapping required
QWO-000008,الْعَالَمِينَ,العالمين,1,2,4,UNRESOLVED,UNMAPPED,,,PENDING,PENDING,ع-ل-م,4,4,0.90,العالمين,PENDING,REVIEW,PENDING,Long-word and mad mapping required
QWO-000009,الرَّحْمَٰنِ,الرحمن,1,3,1,UNRESOLVED,UNMAPPED,,,PENDING,PENDING,ر-ح-م,4,4,1.00,الرحمن,PENDING,REVIEW,PENDING,DuplicateKey links QWO-000003
QWO-000010,الرَّحِيمِ,الرحيم,1,3,2,UNRESOLVED,UNMAPPED,,,PENDING,PENDING,ر-ح-م,4,4,1.00,الرحيم,PENDING,REVIEW,PENDING,DuplicateKey links QWO-000004
QWO-000011,مَالِكِ,مالك,1,4,1,UNRESOLVED,UNMAPPED,,,PENDING,PENDING,م-ل-ك,3,4,1.00,مالك,PENDING,REVIEW,PENDING,Mad alif mapping required
QWO-000012,يَوْمِ,يوم,1,4,2,UNRESOLVED,UNMAPPED,,,PENDING,PENDING,ي-و-م,3,4,1.00,يوم,PENDING,REVIEW,PENDING,Diphthong pattern review required
QWO-000013,الدِّينِ,الدين,1,4,3,UNRESOLVED,UNMAPPED,,,PENDING,PENDING,د-ي-ن,4,4,1.00,الدين,PENDING,REVIEW,PENDING,Tasydid and mad ya mapping required
QWO-000014,إِيَّاكَ,اياك,1,5,1,UNRESOLVED,UNMAPPED,,,PENDING,PENDING,ا-ي-ك,4,4,1.00,اياك,PENDING,REVIEW,PENDING,Hamzah and tasydid mapping required
QWO-000015,نَعْبُدُ,نعبد,1,5,2,UNRESOLVED,UNMAPPED,,,PENDING,PENDING,ن-ع-ب-د,3,5,1.30,نعبد,PENDING,REVIEW,PENDING,Medial ayn sukun mapping required
QWO-000016,وَإِيَّاكَ,واياك,1,5,3,UNRESOLVED,UNMAPPED,,,PENDING,PENDING,و-ا-ي-ك,4,4,0.90,واياك,PENDING,REVIEW,PENDING,Prefixed waw plus hamzah mapping required
QWO-000017,نَسْتَعِينُ,نستعين,1,5,4,UNRESOLVED,UNMAPPED,,,PENDING,PENDING,ن-س-ت-ع-ي-ن,5,4,0.80,نستعين,PENDING,REVIEW,PENDING,Long connected word and mad ya mapping required
QWO-000018,اهْدِنَا,اهدنا,1,6,1,UNRESOLVED,UNMAPPED,,,PENDING,PENDING,ا-ه-د-ن,4,5,1.20,اهدنا,PENDING,REVIEW,PENDING,Hamzah-wasl review required
QWO-000019,الصِّرَاطَ,الصراط,1,6,2,UNRESOLVED,UNMAPPED,,,PENDING,PENDING,ص-ر-ط,5,5,1.00,الصراط,PENDING,REVIEW,PENDING,Heavy letters tasydid and mad mapping required
QWO-000020,الْمُسْتَقِيمَ,المستقيم,1,6,3,UNRESOLVED,UNMAPPED,,,PENDING,PENDING,م-س-ت-ق-ي-م,5,4,0.80,المستقيم,PENDING,REVIEW,PENDING,Long connected word and qaf mapping required
QWO-000021,صِرَاطَ,صراط,1,7,1,UNRESOLVED,UNMAPPED,,,PENDING,PENDING,ص-ر-ط,4,5,1.10,صراط,PENDING,REVIEW,PENDING,Non-prefixed family of QWO-000019
