Page,PageRole,ObjectCount,ObjectTypes,Competencies,DuplicateObjects,Status
1,LETTER_FATHAH_KASRAH_DHAMMAH_FAMILY_1,24,LETTER:24,C0002:8|C0003:8|C0004:8,0,PASS
2,LETTER_FATHAH_KASRAH_DHAMMAH_FAMILY_2,24,LETTER:24,C0002:8|C0003:8|C0004:8,0,PASS
3,LETTER_FATHAH_KASRAH_DHAMMAH_NON_CONNECTORS,24,LETTER:24,C0002:8|C0003:8|C0004:8,0,PASS
4,LETTER_REMAINING_AND_REVIEW,24,LETTER:24,C0002:8|C0003:8|C0004:8,0,PASS
5,TWO_LETTER_BASIC,24,WORD_FRAGMENT:24,C0005:24,0,PASS
6,TWO_LETTER_BASIC,24,WORD_FRAGMENT:24,C0005:24,0,PASS
7,TWO_LETTER_BASIC,24,WORD_FRAGMENT:24,C0005:24,0,PASS
8,TWO_LETTER_BASIC,24,WORD_FRAGMENT:24,C0005:24,0,PASS
9,TWO_LETTER_BASIC,24,WORD_FRAGMENT:24,C0005:24,0,PASS
10,TWO_LETTER_BASIC,24,WORD_FRAGMENT:24,C0005:24,0,PASS
11,TWO_LETTER_BASIC,24,WORD_FRAGMENT:24,C0005:24,0,PASS
12,TWO_LETTER_BASIC,24,WORD_FRAGMENT:24,C0005:24,0,PASS
13,TWO_LETTER_CONNECTED,24,WORD_FRAGMENT:24,C0006:24,0,PASS
14,TWO_LETTER_CONNECTED,24,WORD_FRAGMENT:24,C0006:24,0,PASS
15,TWO_LETTER_CONNECTED,24,WORD_FRAGMENT:24,C0006:24,0,PASS
16,TWO_LETTER_CONNECTED,24,WORD_FRAGMENT:24,C0006:24,0,PASS
17,TWO_LETTER_CONNECTED,24,WORD_FRAGMENT:24,C0006:24,0,PASS
18,TWO_LETTER_CONNECTED,24,WORD_FRAGMENT:24,C0006:24,0,PASS
19,TWO_LETTER_CONNECTED,24,WORD_FRAGMENT:24,C0006:24,0,PASS
20,AWAILUS_SUWAR_AND_TWO_LETTER_REVIEW,24,AWAIL_AL_SUWAR:7|WORD_FRAGMENT:17,C0005:9|C0006:8|SPECIAL_AWAIL:7,0,PASS
21,TWO_LETTER_MIXED_REVIEW,24,WORD_FRAGMENT:24,C0005:12|C0006:12,0,PASS
22,TWO_LETTER_MIXED_REVIEW,24,WORD_FRAGMENT:24,C0005:12|C0006:12,0,PASS
23,TWO_LETTER_MIXED_REVIEW,24,WORD_FRAGMENT:24,C0005:12|C0006:12,0,PASS
24,TWO_LETTER_MIXED_REVIEW,24,WORD_FRAGMENT:24,C0005:12|C0006:12,0,PASS
25,TWO_LETTER_MIXED_REVIEW,24,WORD_FRAGMENT:24,C0005:12|C0006:12,0,PASS
26,TWO_LETTER_MIXED_REVIEW,24,WORD_FRAGMENT:24,C0005:12|C0006:12,0,PASS
27,TWO_LETTER_MIXED_REVIEW,24,WORD_FRAGMENT:24,C0005:12|C0006:12,0,PASS
28,TWO_LETTER_MIXED_REVIEW,24,WORD_FRAGMENT:24,C0005:12|C0006:12,0,PASS
29,TWO_LETTER_MIXED_REVIEW,24,WORD_FRAGMENT:24,C0005:12|C0006:12,0,PASS
30,AWAILUS_SUWAR_AND_TWO_LETTER_REVIEW,24,AWAIL_AL_SUWAR:7|WORD_FRAGMENT:17,C0005:9|C0006:8|SPECIAL_AWAIL:7,0,PASS
31,CUMULATIVE_MUROJAAH,24,WORD_FRAGMENT:24,C0005:12|C0006:12,0,PASS
32,CUMULATIVE_MUROJAAH,24,WORD_FRAGMENT:24,C0005:12|C0006:12,0,PASS
33,CUMULATIVE_MUROJAAH,24,WORD_FRAGMENT:24,C0005:12|C0006:12,0,PASS
34,CUMULATIVE_MUROJAAH,24,WORD_FRAGMENT:24,C0005:12|C0006:12,0,PASS
35,CUMULATIVE_MUROJAAH,24,WORD_FRAGMENT:24,C0005:12|C0006:12,0,PASS
36,CUMULATIVE_MUROJAAH,24,WORD_FRAGMENT:24,C0005:12|C0006:12,0,PASS
