Jilid,Page,PageRole,Slot,ObjectID,CanonicalKey,ObjectType,ArabicObject,PrimaryCompetency,ReviewCompetencies,SourceRef,Status,Notes
1,1,LETTER_FATHAH_KASRAH_DHAMMAH_FAMILY_1,1,J1-P01-S01,579017940bea869aa647,LETTER,بَ,C0002,C0001,2:2,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,1,LETTER_FATHAH_KASRAH_DHAMMAH_FAMILY_1,2,J1-P01-S02,ccb2b9ef2f2e76534705,LETTER,بِ,C0003,C0001,1:1,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,1,LETTER_FATHAH_KASRAH_DHAMMAH_FAMILY_1,3,J1-P01-S03,5223b87a4e1cecef2c86,LETTER,بُ,C0004,C0001,1:5,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,1,LETTER_FATHAH_KASRAH_DHAMMAH_FAMILY_1,4,J1-P01-S04,51cf632e67e5ff5da13b,LETTER,تَ,C0002,C0001,1:5,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,1,LETTER_FATHAH_KASRAH_DHAMMAH_FAMILY_1,5,J1-P01-S05,0fb72aba075dd1592daf,LETTER,تِ,C0003,C0001,2:19,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,1,LETTER_FATHAH_KASRAH_DHAMMAH_FAMILY_1,6,J1-P01-S06,7a6def4c27ba27d0e5f2,LETTER,تُ,C0004,C0001,2:6,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,1,LETTER_FATHAH_KASRAH_DHAMMAH_FAMILY_1,7,J1-P01-S07,9c697ad1c64b4a388397,LETTER,ثَ,C0002,C0001,2:17,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,1,LETTER_FATHAH_KASRAH_DHAMMAH_FAMILY_1,8,J1-P01-S08,53c0e84ff873405baf5c,LETTER,ثِ,C0003,C0001,2:26,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,1,LETTER_FATHAH_KASRAH_DHAMMAH_FAMILY_1,9,J1-P01-S09,fca69081ff27606bec50,LETTER,ثُ,C0004,C0001,2:28,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,1,LETTER_FATHAH_KASRAH_DHAMMAH_FAMILY_1,10,J1-P01-S10,f1cf75e820914dc3d1cc,LETTER,جَ,C0002,C0001,2:22,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,1,LETTER_FATHAH_KASRAH_DHAMMAH_FAMILY_1,11,J1-P01-S11,d95578ac49faa09b6556,LETTER,جِ,C0003,C0001,2:18,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,1,LETTER_FATHAH_KASRAH_DHAMMAH_FAMILY_1,12,J1-P01-S12,4fcc5c1c10a3e25b3a71,LETTER,جُ,C0004,C0001,2:34,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,1,LETTER_FATHAH_KASRAH_DHAMMAH_FAMILY_1,13,J1-P01-S13,c8d9fe153e46739fac67,LETTER,حَ,C0002,C0001,1:2,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,1,LETTER_FATHAH_KASRAH_DHAMMAH_FAMILY_1,14,J1-P01-S14,686d71c8f68d6dadc9e9,LETTER,حِ,C0003,C0001,1:1,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
