Page,ObjectCount,ObjectTypes,Competencies,DuplicateObjects
1,24,LETTER:24,C0002:8|C0003:8|C0004:8,0
2,24,LETTER:24,C0002:8|C0003:8|C0004:8,0
3,24,LETTER:24,C0002:8|C0003:8|C0004:8,0
4,24,LETTER:24,C0002:8|C0003:8|C0004:8,0
5,24,WORD_FRAGMENT:24,C0005:24,0
6,24,WORD_FRAGMENT:24,C0005:24,0
7,24,WORD_FRAGMENT:24,C0005:24,0
8,24,WORD_FRAGMENT:24,C0005:24,0
9,24,WORD_FRAGMENT:24,C0005:24,0
10,24,WORD_FRAGMENT:24,C0005:24,0
11,24,WORD_FRAGMENT:24,C0005:24,0
12,24,WORD_FRAGMENT:24,C0005:24,0
13,24,WORD_FRAGMENT:24,C0006:24,0
14,24,WORD_FRAGMENT:24,C0006:24,0
15,24,WORD_FRAGMENT:24,C0006:24,0
16,24,WORD_FRAGMENT:24,C0006:24,0
17,24,WORD_FRAGMENT:24,C0006:24,0
18,24,WORD_FRAGMENT:24,C0006:24,0
19,24,WORD_FRAGMENT:24,C0006:24,0
20,24,AWAIL_AL_SUWAR:7|WORD_FRAGMENT:17,SPECIAL_AWAIL:7|C0005:9|C0006:8,0
21,24,WORD_FRAGMENT:24,C0005:12|C0006:12,0
22,24,WORD_FRAGMENT:24,C0006:12|C0005:12,0
23,24,WORD_FRAGMENT:24,C0005:12|C0006:12,0
24,24,WORD_FRAGMENT:24,C0006:12|C0005:12,0
25,24,WORD_FRAGMENT:24,C0005:12|C0006:12,0
26,24,WORD_FRAGMENT:24,C0006:12|C0005:12,0
27,24,WORD_FRAGMENT:24,C0005:12|C0006:12,0
28,24,WORD_FRAGMENT:24,C0006:12|C0005:12,0
29,24,WORD_FRAGMENT:24,C0005:12|C0006:12,0
30,24,AWAIL_AL_SUWAR:7|WORD_FRAGMENT:17,SPECIAL_AWAIL:7|C0005:9|C0006:8,0
31,24,WORD_FRAGMENT:24,C0005:12|C0006:12,0
32,24,WORD_FRAGMENT:24,C0006:12|C0005:12,0
33,24,WORD_FRAGMENT:24,C0005:12|C0006:12,0
34,24,WORD_FRAGMENT:24,C0006:12|C0005:12,0
35,24,WORD_FRAGMENT:24,C0005:12|C0006:12,0
36,24,WORD_FRAGMENT:24,C0006:12|C0005:12,0
