Page,PageRole,PrimaryCompetencyID,ReviewCompetencyIDs,ObjectType,TargetObjectCount,Constraint,Status
1,LETTER_FATHAH_KASRAH_DHAMMAH_FAMILY_1,C0002|C0003|C0004,C0001,LETTER,24,Quran-sourced letter occurrences; new surface objects,COMPOSED_CANDIDATE
2,LETTER_FATHAH_KASRAH_DHAMMAH_FAMILY_2,C0002|C0003|C0004,C0001,LETTER,24,Quran-sourced letter occurrences; new surface objects,COMPOSED_CANDIDATE
3,LETTER_FATHAH_KASRAH_DHAMMAH_NON_CONNECTORS,C0002|C0003|C0004,C0001,LETTER,24,Quran-sourced letter occurrences; new surface objects,COMPOSED_CANDIDATE
4,LETTER_REMAINING_AND_REVIEW,C0002|C0003|C0004,C0001,LETTER,24,Quran-sourced letter occurrences; new surface objects,COMPOSED_CANDIDATE
5,TWO_LETTER_BASIC,C0005,C0002|C0003|C0004,WORD_FRAGMENT,24,Two letters; no sukun shadda tanwin or mad; new objects only,COMPOSED_CANDIDATE
6,TWO_LETTER_BASIC,C0005,C0002|C0003|C0004,WORD_FRAGMENT,24,Two letters; no sukun shadda tanwin or mad; new objects only,COMPOSED_CANDIDATE
7,TWO_LETTER_BASIC,C0005,C0002|C0003|C0004,WORD_FRAGMENT,24,Two letters; no sukun shadda tanwin or mad; new objects only,COMPOSED_CANDIDATE
8,TWO_LETTER_BASIC,C0005,C0002|C0003|C0004,WORD_FRAGMENT,24,Two letters; no sukun shadda tanwin or mad; new objects only,COMPOSED_CANDIDATE
9,TWO_LETTER_BASIC,C0005,C0002|C0003|C0004,WORD_FRAGMENT,24,Two letters; no sukun shadda tanwin or mad; new objects only,COMPOSED_CANDIDATE
10,TWO_LETTER_BASIC,C0005,C0002|C0003|C0004,WORD_FRAGMENT,24,Two letters; no sukun shadda tanwin or mad; new objects only,COMPOSED_CANDIDATE
11,TWO_LETTER_BASIC,C0005,C0002|C0003|C0004,WORD_FRAGMENT,24,Two letters; no sukun shadda tanwin or mad; new objects only,COMPOSED_CANDIDATE
12,TWO_LETTER_BASIC,C0005,C0002|C0003|C0004,WORD_FRAGMENT,24,Two letters; no sukun shadda tanwin or mad; new objects only,COMPOSED_CANDIDATE
