Page,PageRole,AllowedUnitLengths,SpecialInjection,AwailusSuwarAllowed,CompetencyDisplayRequired,MemorizationDescriptionRequired,ArabicDescriptionRequired,Status
1,FOUNDATION_SINGLE,1,NONE,NO,YES,YES,YES,REVIEW_CANDIDATE
2,FOUNDATION_SINGLE,1,NONE,NO,YES,YES,YES,REVIEW_CANDIDATE
3,FOUNDATION_SINGLE,1,NONE,NO,YES,YES,YES,REVIEW_CANDIDATE
4,FOUNDATION_SINGLE_REVIEW,1,NONE,NO,YES,YES,YES,REVIEW_CANDIDATE
5,TRANSITION_SINGLE_TO_DOUBLE,1|2,NONE,NO,YES,YES,YES,REVIEW_CANDIDATE
6,TRANSITION_SINGLE_TO_DOUBLE,1|2,NONE,NO,YES,YES,YES,REVIEW_CANDIDATE
7,TRANSITION_SINGLE_TO_DOUBLE,1|2,NONE,NO,YES,YES,YES,REVIEW_CANDIDATE
8,TRANSITION_SINGLE_TO_DOUBLE,1|2,NONE,NO,YES,YES,YES,REVIEW_CANDIDATE
9,DOUBLE_WITH_SINGLE_REVIEW,1|2,NONE,NO,YES,YES,YES,REVIEW_CANDIDATE
10,DOUBLE_WITH_SINGLE_REVIEW,1|2,NONE,NO,YES,YES,YES,REVIEW_CANDIDATE
11,DOUBLE_WITH_SINGLE_REVIEW,1|2,NONE,NO,YES,YES,YES,REVIEW_CANDIDATE
12,DOUBLE_WITH_SINGLE_REVIEW,1|2,NONE,NO,YES,YES,YES,REVIEW_CANDIDATE
13,TRANSITION_TO_TRIPLE,1|2|3,NONE,NO,YES,YES,YES,REVIEW_CANDIDATE
14,TRANSITION_TO_TRIPLE,1|2|3,NONE,NO,YES,YES,YES,REVIEW_CANDIDATE
15,TRANSITION_TO_TRIPLE,1|2|3,NONE,NO,YES,YES,YES,REVIEW_CANDIDATE
16,TRIPLE_WITH_CUMULATIVE_REVIEW,1|2|3,NONE,NO,YES,YES,YES,REVIEW_CANDIDATE
17,TRIPLE_WITH_CUMULATIVE_REVIEW,1|2|3,NONE,NO,YES,YES,YES,REVIEW_CANDIDATE
18,TRIPLE_WITH_CUMULATIVE_REVIEW,1|2|3,NONE,NO,YES,YES,YES,REVIEW_CANDIDATE
19,TRIPLE_WITH_CUMULATIVE_REVIEW,1|2|3,NONE,NO,YES,YES,YES,REVIEW_CANDIDATE
20,LETTER_NAME_CHECKPOINT,1|2|3,LETTER_NAMES,NO,YES,YES,YES,REVIEW_CANDIDATE
21,CUMULATIVE_PROGRESSION,1|2|3,NONE,NO,YES,YES,YES,REVIEW_CANDIDATE
22,CUMULATIVE_PROGRESSION,1|2|3,NONE,NO,YES,YES,YES,REVIEW_CANDIDATE
23,CUMULATIVE_PROGRESSION,1|2|3,NONE,NO,YES,YES,YES,REVIEW_CANDIDATE
24,CUMULATIVE_PROGRESSION,1|2|3,NONE,NO,YES,YES,YES,REVIEW_CANDIDATE
25,CUMULATIVE_PROGRESSION,1|2|3,NONE,NO,YES,YES,YES,REVIEW_CANDIDATE
26,CUMULATIVE_PROGRESSION,1|2|3,NONE,NO,YES,YES,YES,REVIEW_CANDIDATE
27,CUMULATIVE_PROGRESSION,1|2|3,NONE,NO,YES,YES,YES,REVIEW_CANDIDATE
28,CUMULATIVE_PROGRESSION,1|2|3,NONE,NO,YES,YES,YES,REVIEW_CANDIDATE
29,CUMULATIVE_PROGRESSION,1|2|3,NONE,NO,YES,YES,YES,REVIEW_CANDIDATE
30,CUMULATIVE_PROGRESSION,1|2|3,NONE,NO,YES,YES,YES,REVIEW_CANDIDATE
31,CUMULATIVE_MUROJAAH,1|2|3,NONE,NO,YES,YES,YES,REVIEW_CANDIDATE
32,CUMULATIVE_MUROJAAH,1|2|3,NONE,NO,YES,YES,YES,REVIEW_CANDIDATE
33,CUMULATIVE_MUROJAAH,1|2|3,NONE,NO,YES,YES,YES,REVIEW_CANDIDATE
34,CUMULATIVE_MUROJAAH,1|2|3,NONE,NO,YES,YES,YES,REVIEW_CANDIDATE
35,CUMULATIVE_MUROJAAH,1|2|3,NONE,NO,YES,YES,YES,REVIEW_CANDIDATE
36,CUMULATIVE_MUROJAAH,1|2|3,NONE,NO,YES,YES,YES,REVIEW_CANDIDATE
37,PRE_FINAL_REVIEW,1|2|3,NONE,NO,YES,YES,YES,REVIEW_CANDIDATE
38,PRE_FINAL_REVIEW,1|2|3,NONE,NO,YES,YES,YES,REVIEW_CANDIDATE
39,PRE_FINAL_REVIEW,1|2|3,NONE,NO,YES,YES,YES,REVIEW_CANDIDATE
40,LETTER_NAME_FINAL_CHECKPOINT,1|2|3,LETTER_NAMES,NO,YES,YES,YES,REVIEW_CANDIDATE
