Page,L1New,L1Review,L2New,L2Review,L3New,L3Review,TotalSlots,Status
1,24,0,0,0,0,0,24,REVIEW_CANDIDATE
2,20,4,0,0,0,0,24,REVIEW_CANDIDATE
3,20,4,0,0,0,0,24,REVIEW_CANDIDATE
4,17,7,0,0,0,0,24,REVIEW_CANDIDATE
5,0,8,16,0,0,0,24,REVIEW_CANDIDATE
6,0,8,16,0,0,0,24,REVIEW_CANDIDATE
7,0,8,16,0,0,0,24,REVIEW_CANDIDATE
8,0,8,16,0,0,0,24,REVIEW_CANDIDATE
9,0,4,12,8,0,0,24,REVIEW_CANDIDATE
10,0,4,12,8,0,0,24,REVIEW_CANDIDATE
11,0,4,12,8,0,0,24,REVIEW_CANDIDATE
12,0,4,12,8,0,0,24,REVIEW_CANDIDATE
13,0,4,0,8,12,0,24,REVIEW_CANDIDATE
14,0,4,0,8,12,0,24,REVIEW_CANDIDATE
15,0,4,0,8,12,0,24,REVIEW_CANDIDATE
16,0,4,0,6,6,8,24,REVIEW_CANDIDATE
17,0,4,0,6,6,8,24,REVIEW_CANDIDATE
18,0,4,0,6,6,8,24,REVIEW_CANDIDATE
19,0,4,0,6,6,8,24,REVIEW_CANDIDATE
20,0,0,0,0,0,0,0,REVIEW_CANDIDATE
21,0,4,0,6,4,10,24,REVIEW_CANDIDATE
22,0,4,0,6,4,10,24,REVIEW_CANDIDATE
23,0,4,0,6,4,10,24,REVIEW_CANDIDATE
24,0,4,0,6,4,10,24,REVIEW_CANDIDATE
25,0,4,0,6,4,10,24,REVIEW_CANDIDATE
26,0,4,0,6,4,10,24,REVIEW_CANDIDATE
27,0,4,0,6,4,10,24,REVIEW_CANDIDATE
28,0,4,0,6,4,10,24,REVIEW_CANDIDATE
29,0,4,0,6,4,10,24,REVIEW_CANDIDATE
30,0,4,0,6,4,10,24,REVIEW_CANDIDATE
31,0,4,0,6,0,14,24,REVIEW_CANDIDATE
32,0,4,0,6,0,14,24,REVIEW_CANDIDATE
33,0,4,0,6,0,14,24,REVIEW_CANDIDATE
34,0,4,0,6,0,14,24,REVIEW_CANDIDATE
35,0,4,0,6,0,14,24,REVIEW_CANDIDATE
36,0,4,0,6,0,14,24,REVIEW_CANDIDATE
37,0,4,0,6,0,14,24,REVIEW_CANDIDATE
38,0,4,0,6,0,14,24,REVIEW_CANDIDATE
39,0,4,0,6,0,14,24,REVIEW_CANDIDATE
40,0,0,0,0,0,0,0,REVIEW_CANDIDATE
