Sequence,Letter,LetterNameArabic,TargetPage,Status
1,ا,ألف,20,REVIEW_CANDIDATE
2,ب,باء,20,REVIEW_CANDIDATE
3,ت,تاء,20,REVIEW_CANDIDATE
4,ث,ثاء,20,REVIEW_CANDIDATE
5,ج,جيم,20,REVIEW_CANDIDATE
6,ح,حاء,20,REVIEW_CANDIDATE
7,خ,خاء,20,REVIEW_CANDIDATE
8,د,دال,20,REVIEW_CANDIDATE
9,ذ,ذال,20,REVIEW_CANDIDATE
10,ر,راء,20,REVIEW_CANDIDATE
11,ز,زاي,20,REVIEW_CANDIDATE
12,س,سين,20,REVIEW_CANDIDATE
13,ش,شين,20,REVIEW_CANDIDATE
14,ص,صاد,20,REVIEW_CANDIDATE
15,ض,ضاد,40,REVIEW_CANDIDATE
16,ط,طاء,40,REVIEW_CANDIDATE
17,ظ,ظاء,40,REVIEW_CANDIDATE
18,ع,عين,40,REVIEW_CANDIDATE
19,غ,غين,40,REVIEW_CANDIDATE
20,ف,فاء,40,REVIEW_CANDIDATE
21,ق,قاف,40,REVIEW_CANDIDATE
22,ك,كاف,40,REVIEW_CANDIDATE
23,ل,لام,40,REVIEW_CANDIDATE
24,م,ميم,40,REVIEW_CANDIDATE
25,ن,نون,40,REVIEW_CANDIDATE
26,ه,هاء,40,REVIEW_CANDIDATE
27,و,واو,40,REVIEW_CANDIDATE
28,ي,ياء,40,REVIEW_CANDIDATE
