Page,HarakatStage,NewLetters,ActiveLetters,L1Slots,L2Slots,L3Slots,SpecialInjection,Status
1,FATHAH,ابتث,ابتث,8,8,8,NONE,REVIEW_CANDIDATE
2,FATHAH,ني,ابتثني,8,8,8,NONE,REVIEW_CANDIDATE
3,FATHAH,جحخ,ابتثنيجحخ,8,8,8,NONE,REVIEW_CANDIDATE
4,FATHAH,دذ,ابتثنيجحخدذ,8,8,8,NONE,REVIEW_CANDIDATE
5,FATHAH,رز,ابتثنيجحخدذرز,8,8,8,NONE,REVIEW_CANDIDATE
6,FATHAH,سش,ابتثنيجحخدذرزسش,8,8,8,NONE,REVIEW_CANDIDATE
7,FATHAH,صض,ابتثنيجحخدذرزسشصض,8,8,8,NONE,REVIEW_CANDIDATE
8,FATHAH,طظ,ابتثنيجحخدذرزسشصضطظ,8,8,8,NONE,REVIEW_CANDIDATE
9,FATHAH,عغ,ابتثنيجحخدذرزسشصضطظعغ,8,8,8,NONE,REVIEW_CANDIDATE
10,FATHAH,فق,ابتثنيجحخدذرزسشصضطظعغفق,8,8,8,NONE,REVIEW_CANDIDATE
11,FATHAH,ك,ابتثنيجحخدذرزسشصضطظعغفقك,8,8,8,NONE,REVIEW_CANDIDATE
12,FATHAH,ل,ابتثنيجحخدذرزسشصضطظعغفقكل,8,8,8,NONE,REVIEW_CANDIDATE
13,FATHAH,م,ابتثنيجحخدذرزسشصضطظعغفقكلم,8,8,8,NONE,REVIEW_CANDIDATE
14,FATHAH,ه,ابتثنيجحخدذرزسشصضطظعغفقكلمه,8,8,8,NONE,REVIEW_CANDIDATE
15,FATHAH,و,ابتثنيجحخدذرزسشصضطظعغفقكلمهو,8,8,8,NONE,REVIEW_CANDIDATE
16,KASRAH,,ابتثنيجحخدذرزسشصضطظعغفقكلمهو,8,8,8,NONE,REVIEW_CANDIDATE
17,KASRAH,,ابتثنيجحخدذرزسشصضطظعغفقكلمهو,8,8,8,NONE,REVIEW_CANDIDATE
18,KASRAH,,ابتثنيجحخدذرزسشصضطظعغفقكلمهو,8,8,8,NONE,REVIEW_CANDIDATE
19,KASRAH,,ابتثنيجحخدذرزسشصضطظعغفقكلمهو,8,8,8,NONE,REVIEW_CANDIDATE
20,SPECIAL,,ابتثنيجحخدذرزسشصضطظعغفقكلمهو,0,0,0,LETTER_NAMES,REVIEW_CANDIDATE
21,KASRAH,,ابتثنيجحخدذرزسشصضطظعغفقكلمهو,8,8,8,NONE,REVIEW_CANDIDATE
22,KASRAH,,ابتثنيجحخدذرزسشصضطظعغفقكلمهو,8,8,8,NONE,REVIEW_CANDIDATE
23,KASRAH,,ابتثنيجحخدذرزسشصضطظعغفقكلمهو,8,8,8,NONE,REVIEW_CANDIDATE
24,KASRAH,,ابتثنيجحخدذرزسشصضطظعغفقكلمهو,8,8,8,NONE,REVIEW_CANDIDATE
25,KASRAH,,ابتثنيجحخدذرزسشصضطظعغفقكلمهو,8,8,8,NONE,REVIEW_CANDIDATE
26,DHAMMAH,,ابتثنيجحخدذرزسشصضطظعغفقكلمهو,8,8,8,NONE,REVIEW_CANDIDATE
27,DHAMMAH,,ابتثنيجحخدذرزسشصضطظعغفقكلمهو,8,8,8,NONE,REVIEW_CANDIDATE
28,DHAMMAH,,ابتثنيجحخدذرزسشصضطظعغفقكلمهو,8,8,8,NONE,REVIEW_CANDIDATE
29,DHAMMAH,,ابتثنيجحخدذرزسشصضطظعغفقكلمهو,8,8,8,NONE,REVIEW_CANDIDATE
30,DHAMMAH,,ابتثنيجحخدذرزسشصضطظعغفقكلمهو,8,8,8,NONE,REVIEW_CANDIDATE
31,DHAMMAH,,ابتثنيجحخدذرزسشصضطظعغفقكلمهو,8,8,8,NONE,REVIEW_CANDIDATE
32,DHAMMAH,,ابتثنيجحخدذرزسشصضطظعغفقكلمهو,8,8,8,NONE,REVIEW_CANDIDATE
33,DHAMMAH,,ابتثنيجحخدذرزسشصضطظعغفقكلمهو,8,8,8,NONE,REVIEW_CANDIDATE
34,DHAMMAH,,ابتثنيجحخدذرزسشصضطظعغفقكلمهو,8,8,8,NONE,REVIEW_CANDIDATE
35,DHAMMAH,,ابتثنيجحخدذرزسشصضطظعغفقكلمهو,8,8,8,NONE,REVIEW_CANDIDATE
36,DHAMMAH,,ابتثنيجحخدذرزسشصضطظعغفقكلمهو,8,8,8,NONE,REVIEW_CANDIDATE
37,MIXED,,ابتثنيجحخدذرزسشصضطظعغفقكلمهو,8,8,8,NONE,REVIEW_CANDIDATE
38,MIXED,,ابتثنيجحخدذرزسشصضطظعغفقكلمهو,8,8,8,NONE,REVIEW_CANDIDATE
39,MIXED,,ابتثنيجحخدذرزسشصضطظعغفقكلمهو,8,8,8,NONE,REVIEW_CANDIDATE
40,SPECIAL,,ابتثنيجحخدذرزسشصضطظعغفقكلمهو,0,0,0,LETTER_NAMES,REVIEW_CANDIDATE
