CompetencyID,ObjectType,MinUnits,MaxUnits,RequiredFeatures,ForbiddenFeatures,PrerequisiteMode,Notes
C0001,LETTER,1,1,SHORT_VOWEL,TANWIN|SUKUN|SHADDA|MADD,ALL,Huruf tunggal
C0002,LETTER,1,1,FATHA,HAMZA|TANWIN|SUKUN|SHADDA|MADD,ALL,Fathah
C0003,LETTER,1,1,KASRA,HAMZA|TANWIN|SUKUN|SHADDA|MADD,ALL,Kasrah
C0004,LETTER,1,1,DAMMA,HAMZA|TANWIN|SUKUN|SHADDA|MADD,ALL,Dhammah
C0005,WORD_FRAGMENT,2,2,NONCONNECTED,HAMZA|TANWIN|SUKUN|SHADDA|MADD,ALL,Dua huruf tidak tersambung
C0006,WORD_FRAGMENT,2,2,CONNECTED,HAMZA|TANWIN|SUKUN|SHADDA|MADD,ALL,Dua huruf tersambung
C0007,WORD,3,3,SHORT_VOWEL,HAMZA|TANWIN|SUKUN|SHADDA|MADD,ALL,Tiga huruf sederhana
C0008,WORD,3,8,INITIAL_CONNECTION,HAMZA|TANWIN|SUKUN|SHADDA|MADD,ALL,Sambungan awal
C0009,WORD,3,8,MEDIAL_CONNECTION,HAMZA|TANWIN|SUKUN|SHADDA|MADD,ALL,Sambungan tengah
C0010,WORD,3,8,FINAL_CONNECTION,HAMZA|TANWIN|SUKUN|SHADDA|MADD,ALL,Sambungan akhir
C0011,WORD,2,8,NONCONNECTOR_TRANSITION,HAMZA|TANWIN|SUKUN|SHADDA|MADD,ALL,Huruf non-connector
C0012,WORD,4,4,,HAMZA|TANWIN|SUKUN|SHADDA|MADD,ALL,Kata empat huruf
C0013,WORD,5,12,,HAMZA|TANWIN|SUKUN|SHADDA|MADD,ALL,Kata lima huruf atau lebih
C0014,WORD,3,12,MAD_ALIF,TANWIN|SHADDA,ALL,Mad alif
C0015,WORD,3,12,MAD_YA,TANWIN|SHADDA,ALL,Mad ya
C0016,WORD,3,12,MAD_WAW,TANWIN|SHADDA,ALL,Mad waw
C0017,WORD,3,12,TANWIN_FATH,,ALL,Tanwin fathah
C0018,WORD,3,12,TANWIN_KASR,,ALL,Tanwin kasrah
C0019,WORD,3,12,TANWIN_DAMM,,ALL,Tanwin dhammah
C0020,WORD,3,12,SUKUN,SHADDA,ALL,Sukun dasar
C0021,WORD,3,12,SUKUN_HAMZA,,ALL,Sukun hamzah
C0022,WORD,3,12,SUKUN_AIN_GHAIN,,ALL,Sukun ain dan ghain
C0023,WORD,3,12,SUKUN_EMPHATIC,,ALL,Sukun huruf tebal
C0024,WORD,3,12,SHADDA,,ALL,Tasydid dasar
C0025,WORD,3,12,ALIF_LAM,,ALL,Alif lam
C0026,WORD,3,12,TA_MARBUTA,,ALL,Ta marbuthah
C0027,WORD,3,12,ALIF_MAQSURA,,ALL,Alif maqshurah
C0028,WORD,2,12,HAMZA_QATA,,ALL,Hamzah qatha
C0029,WORD,2,12,HAMZA_WASL,,ALL,Hamzah washal
C0030,WORD,4,8,LAFZ_JALALAH,,ALL,Lafzul Jalalah dasar
C0031,WORD,4,10,LAFZ_JALALAH|CASE_ENDING,,ALL,Lafzul Jalalah berharakat
C0032,WORD,4,12,LAFZ_JALALAH|PREFIX,,ALL,Lafzul Jalalah dengan awalan
C0033,PHRASE,2,2,,UNLEARNED_FEATURE,ALL,Frasa dua kata
C0034,PHRASE,3,4,,UNLEARNED_FEATURE,ALL,Frasa tiga sampai empat kata
C0035,AYAH_FRAGMENT,4,8,,UNLEARNED_FEATURE,ALL,Potongan ayat pendek
C0036,AYAH_FRAGMENT,8,15,,UNLEARNED_FEATURE,ALL,Potongan ayat menengah
C0037,FULL_AYAH,1,7,,UNLEARNED_FEATURE,ALL,Ayat utuh pendek berdasarkan jumlah kata
C0038,FULL_AYAH,8,15,,UNLEARNED_FEATURE,ALL,Ayat utuh sedang
C0039,FULL_AYAH,16,200,,UNLEARNED_FEATURE,ALL,Ayat utuh panjang
C0040,AYAH_FRAGMENT|FULL_AYAH,4,200,WAQF_MARKS,,ALL,Waqaf dan ibtida dasar
C0041,FULL_AYAH,8,200,MULTI_COMPETENCY,,ALL,Integrasi multi-kompetensi
