CompetencyID,AllowedObjectTypes,AllowedBaseLetters,AllowedMarks,ForbiddenMarks,MaxBaseLetters,RequireConnected,RequireNonConnector,AllowHamzaForms,AllowMadd,AllowTanwin,AllowSukun,AllowShadda,AllowAlifLam,AllowTaMarbuta,AllowAlifMaqsura,Notes
C0001,LETTER,ابتثجحخدذرزسشصضطظعغفقكلمنهويءأإؤئآٱىة,َُِ,ًٌٍّْٰٓ,1,ANY,ANY,YES,NO,NO,NO,NO,NO,NO,NO,Huruf tunggal
C0002,LETTER,ابتثجحخدذرزسشصضطظعغفقكلمنهوي,َ,ًٌٍّْٰٓ,1,ANY,ANY,NO,NO,NO,NO,NO,NO,NO,NO,Fathah
C0003,LETTER,ابتثجحخدذرزسشصضطظعغفقكلمنهوي,ِ,ًٌٍّْٰٓ,1,ANY,ANY,NO,NO,NO,NO,NO,NO,NO,NO,Kasrah
C0004,LETTER,ابتثجحخدذرزسشصضطظعغفقكلمنهوي,ُ,ًٌٍّْٰٓ,1,ANY,ANY,NO,NO,NO,NO,NO,NO,NO,NO,Dhammah
C0005,WORD_FRAGMENT,ابتثجحخدذرزسشصضطظعغفقكلمنهوي,َُِ,ًٌٍّْٰٓ,2,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,Dua huruf tidak tersambung
C0006,WORD_FRAGMENT,ابتثجحخدذرزسشصضطظعغفقكلمنهوي,َُِ,ًٌٍّْٰٓ,2,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,Dua huruf tersambung
C0007,WORD,ابتثجحخدذرزسشصضطظعغفقكلمنهوي,َُِ,ًٌٍّْٰٓ,8,ANY,ANY,NO,NO,NO,NO,NO,NO,NO,NO,Tiga huruf
C0008,WORD,ابتثجحخدذرزسشصضطظعغفقكلمنهوي,َُِ,ًٌٍّْٰٓ,8,ANY,ANY,NO,NO,NO,NO,NO,NO,NO,NO,Sambungan awal
C0009,WORD,ابتثجحخدذرزسشصضطظعغفقكلمنهوي,َُِ,ًٌٍّْٰٓ,8,ANY,ANY,NO,NO,NO,NO,NO,NO,NO,NO,Sambungan tengah
C0010,WORD,ابتثجحخدذرزسشصضطظعغفقكلمنهوي,َُِ,ًٌٍّْٰٓ,8,ANY,ANY,NO,NO,NO,NO,NO,NO,NO,NO,Sambungan akhir
C0011,WORD,ابتثجحخدذرزسشصضطظعغفقكلمنهوي,َُِ,ًٌٍّْٰٓ,8,ANY,YES,NO,NO,NO,NO,NO,NO,NO,NO,Nonconnector
C0012,WORD,ابتثجحخدذرزسشصضطظعغفقكلمنهوي,َُِ,ًٌٍّْٰٓ,4,ANY,ANY,NO,NO,NO,NO,NO,NO,NO,NO,Empat huruf
C0013,WORD,ابتثجحخدذرزسشصضطظعغفقكلمنهوي,َُِ,ًٌٍّْٰٓ,12,ANY,ANY,NO,NO,NO,NO,NO,NO,NO,NO,Lima huruf lebih
C0014,WORD,ابتثجحخدذرزسشصضطظعغفقكلمنهوي,َُِْٰ,ًٌٍّٓ,12,ANY,ANY,NO,YES,NO,YES,NO,YES,YES,YES,Mad alif
C0015,WORD,ابتثجحخدذرزسشصضطظعغفقكلمنهوي,َُِْٰ,ًٌٍّٓ,12,ANY,ANY,NO,YES,NO,YES,NO,YES,YES,YES,Mad ya
C0016,WORD,ابتثجحخدذرزسشصضطظعغفقكلمنهوي,َُِْٰ,ًٌٍّٓ,12,ANY,ANY,NO,YES,NO,YES,NO,YES,YES,YES,Mad waw
C0017,WORD,ابتثجحخدذرزسشصضطظعغفقكلمنهوي,ًَُِ,,12,ANY,ANY,NO,YES,YES,YES,YES,YES,YES,YES,Tanwin fath
C0018,WORD,ابتثجحخدذرزسشصضطظعغفقكلمنهوي,ٍَُِ,,12,ANY,ANY,NO,YES,YES,YES,YES,YES,YES,YES,Tanwin kasr
C0019,WORD,ابتثجحخدذرزسشصضطظعغفقكلمنهوي,ٌَُِ,,12,ANY,ANY,NO,YES,YES,YES,YES,YES,YES,YES,Tanwin damm
C0020,WORD,ابتثجحخدذرزسشصضطظعغفقكلمنهوي,َُِْ,ًٌٍّٰٓ,12,ANY,ANY,NO,YES,NO,YES,NO,YES,YES,YES,Sukun
