CandidateID,ArabicCandidate,NormalizedWord,TargetCompetency,SecondaryCompetencies,SourceRef,SourceStatus,Difficulty,Priority,GeneratorWeight,Status,Notes
QWOC-000091,كَتَبَ,كتب,QCI-CN-0002,QCI-PH-0001,PENDING,UNVERIFIED,2,HIGH,1.20,CANDIDATE,Three-letter connected fathah pattern
QWOC-000092,خَلَقَ,خلق,QCI-CN-0002,QCI-PH-0001|QCI-VF-0002,PENDING,UNVERIFIED,3,HIGH,1.15,CANDIDATE,Three-letter connected with kha family
QWOC-000093,جَعَلَ,جعل,QCI-CN-0002,QCI-PH-0001|QCI-VF-0002,PENDING,UNVERIFIED,3,HIGH,1.15,CANDIDATE,Three-letter connected with ayn
QWOC-000094,عَلِمَ,علم,QCI-CN-0002,QCI-PH-0001|QCI-PH-0002,PENDING,UNVERIFIED,3,HIGH,1.15,CANDIDATE,Mixed fathah kasrah
QWOC-000095,عَمِلَ,عمل,QCI-CN-0002,QCI-PH-0001|QCI-PH-0002,PENDING,UNVERIFIED,3,HIGH,1.15,CANDIDATE,Mixed short vowels
QWOC-000096,رَجَعَ,رجع,QCI-CN-0003,QCI-PH-0001|QCI-VF-0004,PENDING,UNVERIFIED,3,HIGH,1.10,CANDIDATE,Non-connector transition after ra
QWOC-000097,دَخَلَ,دخل,QCI-CN-0003,QCI-PH-0001|QCI-VF-0003,PENDING,UNVERIFIED,3,HIGH,1.10,CANDIDATE,Non-connector transition after dal
QWOC-000098,ذَهَبَ,ذهب,QCI-CN-0003,QCI-PH-0001|QCI-VF-0003,PENDING,UNVERIFIED,3,HIGH,1.10,CANDIDATE,Non-connector transition after dhal
QWOC-000099,رَزَقَ,رزق,QCI-CN-0003,QCI-PH-0001|QCI-VF-0004,PENDING,UNVERIFIED,3,HIGH,1.15,CANDIDATE,Ra zay non-connector family
QWOC-000100,نَزَلَ,نزل,QCI-CN-0003,QCI-PH-0001|QCI-VF-0004,PENDING,UNVERIFIED,3,HIGH,1.15,CANDIDATE,Zay breaks connection
QWOC-000101,وَجَدَ,وجد,QCI-CN-0003,QCI-PH-0001,PENDING,UNVERIFIED,3,HIGH,1.10,CANDIDATE,Initial waw non-connector
QWOC-000102,وَعَدَ,وعد,QCI-CN-0003,QCI-PH-0001,PENDING,UNVERIFIED,3,HIGH,1.10,CANDIDATE,Initial waw plus ayn
QWOC-000103,قَدَرَ,قدر,QCI-CN-0003,QCI-PH-0001,PENDING,UNVERIFIED,3,HIGH,1.10,CANDIDATE,Dal and ra non-connectors
QWOC-000104,بَدَأَ,بدأ,QCI-OR-0002,QCI-CN-0003|QCI-PH-0001,PENDING,UNVERIFIED,4,MEDIUM,0.95,CANDIDATE,Final hamzah qata
QWOC-000105,قَرَأَ,قرأ,QCI-OR-0002,QCI-CN-0003|QCI-PH-0001,PENDING,UNVERIFIED,4,HIGH,1.00,CANDIDATE,Final hamzah after alif carrier
QWOC-000106,سَأَلَ,سأل,QCI-OR-0002,QCI-CN-0002|QCI-PH-0001,PENDING,UNVERIFIED,4,HIGH,1.00,CANDIDATE,Medial hamzah qata
QWOC-000107,أَخَذَ,أخذ,QCI-OR-0002,QCI-CN-0003|QCI-PH-0001,PENDING,UNVERIFIED,4,HIGH,1.05,CANDIDATE,Initial hamzah qata
