CompetencyID,MinimumUniqueCandidates,ActualUniqueCandidates,Status,Gap
C0001,81,0,SHORTAGE,81
C0002,27,0,SHORTAGE,27
C0003,27,0,SHORTAGE,27
C0004,27,0,SHORTAGE,27
C0005,180,0,SHORTAGE,180
C0006,180,44,SHORTAGE,136
C0007,150,263,PASS,0
C0008,80,626,PASS,0
C0009,80,626,PASS,0
C0010,80,626,PASS,0
C0011,80,270,PASS,0
C0012,100,214,PASS,0
C0013,100,105,PASS,0
C0014,100,1600,PASS,0
C0015,100,505,PASS,0
C0016,100,1515,PASS,0
C0017,80,437,PASS,0
C0018,80,299,PASS,0
C0019,80,271,PASS,0
C0020,100,3136,PASS,0
C0021,40,330,PASS,0
C0022,40,341,PASS,0
C0023,40,484,PASS,0
C0024,100,1982,PASS,0
C0025,100,1036,PASS,0
C0026,80,624,PASS,0
C0027,60,668,PASS,0
C0028,80,4563,PASS,0
C0029,80,1998,PASS,0
C0030,3,13776,PASS,0
C0031,10,13,PASS,0
C0032,5,9812,PASS,0
C0033,120,156434,PASS,0
C0034,100,156451,PASS,0
C0035,80,424346,PASS,0
C0036,60,424346,PASS,0
C0037,60,5317,PASS,0
C0038,50,5319,PASS,0
C0039,40,6002,PASS,0
C0040,40,429665,PASS,0
C0041,40,5319,PASS,0
