CanonicalKey,ObjectType,Text,SourceRef,WordCount
8f862e56588e11edfa7b,LETTER,ءَ,2:6,1
7de94f8e86e0fbb0c51f,LETTER,ءُ,2:13,1
9c05358ede4d09afb78c,LETTER,ءِ,2:19,1
301e1ec3d241993fb30b,LETTER,أَ,1:7,1
b1c52c7ac7ee3a8f70a9,LETTER,أُ,2:4,1
654ca6a3c835a03d8e1d,LETTER,ؤَ,2:225,1
7095de44c7e586f0a8c8,LETTER,ؤُ,2:31,1
0aab9e52632ecdeb9143,LETTER,ؤِ,56:23,1
03ff3aad020c1467b0f4,LETTER,إِ,1:5,1
405aa1fd432f51b1630b,LETTER,ئَ,2:81,1
46cc6319ab94982a0426,LETTER,ئُ,2:15,1
3bce9127740640aa8c90,LETTER,ئِ,2:5,1
579017940bea869aa647,LETTER,بَ,2:2,1
5223b87a4e1cecef2c86,LETTER,بُ,1:5,1
ccb2b9ef2f2e76534705,LETTER,بِ,1:1,1
526f05ffcb821057b3f1,LETTER,ةَ,2:3,1
eea8749ac961b70a08c0,LETTER,ةُ,2:24,1
3c69a75b1b2ff8c259e5,LETTER,ةِ,2:4,1
51cf632e67e5ff5da13b,LETTER,تَ,1:5,1
7a6def4c27ba27d0e5f2,LETTER,تُ,2:6,1
0fb72aba075dd1592daf,LETTER,تِ,2:19,1
9c697ad1c64b4a388397,LETTER,ثَ,2:17,1
fca69081ff27606bec50,LETTER,ثُ,2:28,1
53c0e84ff873405baf5c,LETTER,ثِ,2:26,1
f1cf75e820914dc3d1cc,LETTER,جَ,2:22,1
4fcc5c1c10a3e25b3a71,LETTER,جُ,2:34,1
d95578ac49faa09b6556,LETTER,جِ,2:18,1
c8d9fe153e46739fac67,LETTER,حَ,1:2,1
b3ef8da208c945099d13,LETTER,حُ,2:5,1
686d71c8f68d6dadc9e9,LETTER,حِ,1:1,1
cbe9bce0e319c70bfa42,LETTER,خَ,2:7,1
1de86a7dc4d31f1a45dd,LETTER,خُ,2:58,1
a72b17174c641aea06b9,LETTER,خِ,2:4,1
fb462a9918f53fc06224,LETTER,دَ,2:9,1
b2c57921bf4227f01cda,LETTER,دُ,1:2,1
a71492c7eac74b563ea4,LETTER,دِ,1:6,1
86b8fdc548b3478f3aa2,LETTER,ذَ,2:6,1
cb38192194c4fe833272,LETTER,ذُ,2:48,1
df3f6d0541fa142265de,LETTER,ذِ,1:7,1
9267f3bd94d46ecad45d,LETTER,رَ,1:2,1
24cf9ce16be2f50c9b73,LETTER,رُ,2:6,1
5c0e7ee6ea4f63ee0365,LETTER,رِ,1:7,1
9d264546b1a198b92a54,LETTER,زَ,2:3,1
a45b557cc0bea105aa21,LETTER,زُ,2:67,1
e2328899f3e52fa28b5e,LETTER,زِ,2:4,1
2e2f6c2d428f8970ee45,LETTER,سَ,2:6,1
8eef91859a6de8d69105,LETTER,سُ,2:13,1
c52f5ac1d862cadab540,LETTER,سِ,2:8,1
68ccdcc43eb5e6b87f0b,LETTER,شَ,2:14,1
35c116668fcc2e6699da,LETTER,شُ,2:23,1
a88472a86ef1f82b1a10,LETTER,شِ,2:35,1
6b8136ffd4a1faf79967,LETTER,صَ,2:19,1
6d45e193eb219bb57fb2,LETTER,صُ,2:18,1
d2578fedcb9fe785a36d,LETTER,صِ,1:7,1
c4ac952044079cce821f,LETTER,ضَ,2:17,1
1545c6edcc16647b003d,LETTER,ضُ,1:7,1
14b48d3de3d646a18812,LETTER,ضِ,2:11,1
88fa2a63303a95bdd451,LETTER,طَ,1:6,1
8b6dd148bf148d779fe1,LETTER,طُ,2:15,1
009c7cb94587178c7c6d,LETTER,طِ,2:14,1
c8eb35196d4df5ac756a,LETTER,ظَ,2:54,1
f22c047bbd319d239bba,LETTER,ظُ,2:17,1
85c09f671e0eb4884a6a,LETTER,ظِ,2:7,1
b71bd0a31a1feb3e7508,LETTER,عَ,1:7,1
25404e3824c89bfb927f,LETTER,عُ,2:9,1
fb3c056180d657f4b23d,LETTER,عِ,1:5,1
57c7e692a062c17e0832,LETTER,غَ,1:7,1
cfd311b1ae45a8ec6e77,LETTER,غُ,2:88,1
e512fa96a77cd3b366eb,LETTER,غِ,2:7,1
747c7ffd328f521920bd,LETTER,فَ,2:6,1
dc7b8bee222f3a19917f,LETTER,فُ,2:9,1
ae8c0cfc8c1a1e8ffb0b,LETTER,فِ,2:2,1
29312bbd7043ececd8ac,LETTER,قَ,2:4,1
647db5806a6517fde744,LETTER,قُ,2:3,1
669f681198ef56aca5a2,LETTER,قِ,1:6,1
5f5f9c198a64d6075d1d,LETTER,كَ,1:5,1
606b60b9e2fea63c41fc,LETTER,كُ,2:14,1
832bf77278875d149f56,LETTER,كِ,1:4,1
5fd8601fc1a968ab025c,LETTER,لَ,1:2,1
7048e947520c507aeacb,LETTER,لُ,2:7,1
06e6f7ee2651c5cc416b,LETTER,لِ,1:2,1
1a40e83aaf4418c37091,LETTER,مَ,1:6,1
d9bcde79800fe58039a6,LETTER,مُ,1:6,1
2f1e8f0be1c6389ce156,LETTER,مِ,1:1,1
a622dfbbf11a4d4a34c4,LETTER,نَ,1:2,1
67aac0e73dbe679f70ec,LETTER,نُ,1:5,1
a003f9105ba584fe5ccd,LETTER,نِ,1:1,1
bc02b341a627174ac144,LETTER,هَ,2:9,1
01661d78b82106f55589,LETTER,هُ,2:2,1
13183fd1c0696ec0678f,LETTER,هِ,1:1,1
6816565ffd4546e5430d,LETTER,وَ,1:5,1
60ede3b44d4fa4d0d266,LETTER,وُ,2:16,1
acf28243c5d428e77605,LETTER,وِ,2:148,1
3d2563b712f5ee4d755b,LETTER,ىَ,2:38,1
01dd0d16a5a38bc1b4b7,LETTER,ىُ,2:196,1
d863cf83246409aad8c7,LETTER,ىِ,2:73,1
59afbe3d9ffed7d70ac1,LETTER,يَ,1:4,1
8479a86207776a2da552,LETTER,يُ,2:3,1
3c2c8d3e5320c3c25732,LETTER,يِ,2:28,1
3b65faee8089140fa547,WORD_FRAGMENT,ٱل,1:1,1
05f573d304472d00bc36,WORD_FRAGMENT,ونَ,2:3,1
bb97172ba9da0196338b,WORD_FRAGMENT,وا,2:6,1
8c903cbf403d3d4985c8,WORD_FRAGMENT,ينَ,1:2,1
b2e8313880fdeb86a117,WORD_FRAGMENT,مَا,2:8,1
75b22305ca19d5eda5de,WORD_FRAGMENT,وَٱ,2:4,1
6e67380037855d06e74f,WORD_FRAGMENT,نَا,1:6,1
23d88c2d14428759f895,WORD_FRAGMENT,عَلَ,1:7,1
f4a56a4f1fcbfc20bedf,WORD_FRAGMENT,لَا,1:7,1
a627759c0b3eaf2612b0,WORD_FRAGMENT,لُو,2:7,1
3a5a74c297e98df4e743,WORD_FRAGMENT,وَلَ,1:7,1
f2b571c5e60b207ae3c3,WORD_FRAGMENT,هَا,2:21,1
fcc6b45c910850029946,WORD_FRAGMENT,فِى,2:10,1
f230a62f98b604bd5699,WORD_FRAGMENT,أَن,2:6,1
81667a7d0588b7d2341c,WORD_FRAGMENT,ذِي,1:7,1
5ccdada3b73c1c723ef8,WORD_FRAGMENT,رُو,2:6,1
efb3304fb689e91b9ddf,WORD_FRAGMENT,ءَا,2:8,1
fc33860f7420828cd2fc,WORD_FRAGMENT,قَا,2:11,1
b666e9566e60277b6051,WORD_FRAGMENT,مِن,2:4,1
19e8df5465b95373be85,WORD_FRAGMENT,ذَا,2:7,1
7773f07c09e3623573f4,WORD_FRAGMENT,وَمَ,2:4,1
09046be66571415eec6e,WORD_FRAGMENT,نُو,2:3,1
6d4b316381c85b2fdc18,WORD_FRAGMENT,كَا,2:10,1
fdfefcbf3620e7db18ea,WORD_FRAGMENT,لَهُ,2:7,1
b2a029e82a3fc09b5487,WORD_FRAGMENT,وَأَ,2:20,1
0a59f264bcdb84b184a8,WORD_FRAGMENT,مُو,2:3,1
30f3e9b531e205948f41,WORD_FRAGMENT,إِلَ,2:4,1
bf5fdbc406431e98e325,WORD_FRAGMENT,قُو,2:3,1
a27c506c17fd71cc65a5,WORD_FRAGMENT,الَ,2:30,1
955f357fe146574e5b13,WORD_FRAGMENT,وَإِ,1:5,1
136042c9d7c1f4e5e407,WORD_FRAGMENT,دُو,2:11,1
1ae664001ef640f5a4b7,WORD_FRAGMENT,بِٱ,2:3,1
19eddaf34a0371709093,WORD_FRAGMENT,مَآ,2:4,1
f8d9274c30a59bfb8781,WORD_FRAGMENT,آءَ,2:17,1
8a741d3f48b64dccfc4c,WORD_FRAGMENT,انَ,2:34,1
220184b3672289f0566a,WORD_FRAGMENT,إِن,2:23,1
cc0c3ab4deaec5b39b0a,WORD_FRAGMENT,مَن,2:8,1
20a769c90b1b565e73ac,WORD_FRAGMENT,رِي,2:19,1
e12db9c988436ce40de8,WORD_FRAGMENT,هُم,2:8,1
