Page,MemorizationCode,MemorizationDescription,ArabicCode,ArabicDescription,AkhlaqCode,AkhlaqDescription,AssessmentCode,AssessmentDescription,FooterProfile,Status
1,UNASSIGNED,Belum ditetapkan; menunggu registri hafalan Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri Bahasa Arab Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri akhlak Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri asesmen Jilid 1.,J1_STANDARD_V1,REVIEW_CANDIDATE
2,UNASSIGNED,Belum ditetapkan; menunggu registri hafalan Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri Bahasa Arab Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri akhlak Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri asesmen Jilid 1.,J1_STANDARD_V1,REVIEW_CANDIDATE
3,UNASSIGNED,Belum ditetapkan; menunggu registri hafalan Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri Bahasa Arab Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri akhlak Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri asesmen Jilid 1.,J1_STANDARD_V1,REVIEW_CANDIDATE
4,UNASSIGNED,Belum ditetapkan; menunggu registri hafalan Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri Bahasa Arab Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri akhlak Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri asesmen Jilid 1.,J1_STANDARD_V1,REVIEW_CANDIDATE
5,UNASSIGNED,Belum ditetapkan; menunggu registri hafalan Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri Bahasa Arab Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri akhlak Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri asesmen Jilid 1.,J1_STANDARD_V1,REVIEW_CANDIDATE
6,UNASSIGNED,Belum ditetapkan; menunggu registri hafalan Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri Bahasa Arab Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri akhlak Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri asesmen Jilid 1.,J1_STANDARD_V1,REVIEW_CANDIDATE
7,UNASSIGNED,Belum ditetapkan; menunggu registri hafalan Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri Bahasa Arab Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri akhlak Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri asesmen Jilid 1.,J1_STANDARD_V1,REVIEW_CANDIDATE
8,UNASSIGNED,Belum ditetapkan; menunggu registri hafalan Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri Bahasa Arab Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri akhlak Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri asesmen Jilid 1.,J1_STANDARD_V1,REVIEW_CANDIDATE
9,UNASSIGNED,Belum ditetapkan; menunggu registri hafalan Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri Bahasa Arab Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri akhlak Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri asesmen Jilid 1.,J1_STANDARD_V1,REVIEW_CANDIDATE
10,UNASSIGNED,Belum ditetapkan; menunggu registri hafalan Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri Bahasa Arab Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri akhlak Jilid 1.,UNASSIGNED,Belum ditetapkan; menunggu registri asesmen Jilid 1.,J1_STANDARD_V1,REVIEW_CANDIDATE
