Page,MemorizationCode,MemorizationDescription,MemorizationStage,ArabicCode,ArabicDescription,AkhlaqCode,AkhlaqDescription,AssessmentCode,AssessmentDescription,FooterProfile,Status
1,H001,Doa Sebelum Belajar,PENGENALAN,BA001,Nama Huruf Hijaiyah,A001,Adab Memegang Mushaf,NONE,Tidak ada checkpoint formal,J1_STANDARD_V2,REVIEW_CANDIDATE
2,H001,Doa Sebelum Belajar,LATIHAN,BA001,Nama Huruf Hijaiyah,A001,Adab Memegang Mushaf,NONE,Tidak ada checkpoint formal,J1_STANDARD_V2,REVIEW_CANDIDATE
3,H001,Doa Sebelum Belajar,LATIHAN,BA001,Nama Huruf Hijaiyah,A001,Adab Memegang Mushaf,NONE,Tidak ada checkpoint formal,J1_STANDARD_V2,REVIEW_CANDIDATE
4,H001,Doa Sebelum Belajar,LATIHAN,BA001,Nama Huruf Hijaiyah,A001,Adab Memegang Mushaf,NONE,Tidak ada checkpoint formal,J1_STANDARD_V2,REVIEW_CANDIDATE
5,H001,Doa Sebelum Belajar,LATIHAN,BA001,Nama Huruf Hijaiyah,A001,Adab Memegang Mushaf,NONE,Tidak ada checkpoint formal,J1_STANDARD_V2,REVIEW_CANDIDATE
6,H001,Doa Sebelum Belajar,LATIHAN,BA001,Nama Huruf Hijaiyah,A001,Adab Memegang Mushaf,NONE,Tidak ada checkpoint formal,J1_STANDARD_V2,REVIEW_CANDIDATE
7,H001,Doa Sebelum Belajar,LATIHAN,BA001,Nama Huruf Hijaiyah,A001,Adab Memegang Mushaf,NONE,Tidak ada checkpoint formal,J1_STANDARD_V2,REVIEW_CANDIDATE
8,H001,Doa Sebelum Belajar,LATIHAN,BA001,Nama Huruf Hijaiyah,A001,Adab Memegang Mushaf,NONE,Tidak ada checkpoint formal,J1_STANDARD_V2,REVIEW_CANDIDATE
9,H001,Doa Sebelum Belajar,LATIHAN,BA001,Nama Huruf Hijaiyah,A001,Adab Memegang Mushaf,NONE,Tidak ada checkpoint formal,J1_STANDARD_V2,REVIEW_CANDIDATE
10,H001,Doa Sebelum Belajar,CHECKPOINT,BA001,Nama Huruf Hijaiyah,A001,Adab Memegang Mushaf,AS010,Checkpoint 1,J1_STANDARD_V2,REVIEW_CANDIDATE
11,H001,Doa Sebelum Belajar,MUROJAAH,BA001,Nama Huruf Hijaiyah,A001,Adab Memegang Mushaf,NONE,Tidak ada checkpoint formal,J1_STANDARD_V2,REVIEW_CANDIDATE
12,H001,Doa Sebelum Belajar,MUROJAAH,BA001,Nama Huruf Hijaiyah,A001,Adab Memegang Mushaf,NONE,Tidak ada checkpoint formal,J1_STANDARD_V2,REVIEW_CANDIDATE
13,H001,Doa Sebelum Belajar,MUROJAAH,BA001,Nama Huruf Hijaiyah,A001,Adab Memegang Mushaf,NONE,Tidak ada checkpoint formal,J1_STANDARD_V2,REVIEW_CANDIDATE
14,H001,Doa Sebelum Belajar,MUROJAAH,BA001,Nama Huruf Hijaiyah,A001,Adab Memegang Mushaf,NONE,Tidak ada checkpoint formal,J1_STANDARD_V2,REVIEW_CANDIDATE
15,H001,Doa Sebelum Belajar,MUROJAAH,BA001,Nama Huruf Hijaiyah,A001,Adab Memegang Mushaf,NONE,Tidak ada checkpoint formal,J1_STANDARD_V2,REVIEW_CANDIDATE
