Page,PageCode,CompetencyCode,Competency,SubCompetencyCode,SubCompetency,StairCode,StairOrder,StairDescription,AssessmentEvidence,Status
2,QJ2-P002,K1,Membaca huruf hijaiyah bersambung,K1.SK2,Mengenali dan membaca perubahan bentuk ج ح خ ketika disambung,K1.SK2.T01,1,Mengenali bentuk tunggal ج ح خ,Mampu membedakan ج ح خ pada bentuk tunggal,ACTIVE_CANDIDATE
2,QJ2-P002,K1,Membaca huruf hijaiyah bersambung,K1.SK2,Mengenali dan membaca perubahan bentuk ج ح خ ketika disambung,K1.SK2.T02,2,Mengenali bentuk awal ج ح خ,Mampu membaca ج ح خ pada posisi awal,ACTIVE_CANDIDATE
2,QJ2-P002,K1,Membaca huruf hijaiyah bersambung,K1.SK2,Mengenali dan membaca perubahan bentuk ج ح خ ketika disambung,K1.SK2.T03,3,Mengenali bentuk tengah ج ح خ,Mampu membaca ج ح خ pada posisi tengah,ACTIVE_CANDIDATE
2,QJ2-P002,K1,Membaca huruf hijaiyah bersambung,K1.SK2,Mengenali dan membaca perubahan bentuk ج ح خ ketika disambung,K1.SK2.T04,4,Mengenali bentuk akhir ج ح خ,Mampu membaca ج ح خ pada posisi akhir,ACTIVE_CANDIDATE
2,QJ2-P002,K1,Membaca huruf hijaiyah bersambung,K1.SK2,Mengenali dan membaca perubahan bentuk ج ح خ ketika disambung,K1.SK2.T05,5,Membaca rangkaian dua huruf keluarga ج ح خ,Mampu membaca unit L2 tanpa mengeja,ACTIVE_CANDIDATE
2,QJ2-P002,K1,Membaca huruf hijaiyah bersambung,K1.SK2,Mengenali dan membaca perubahan bentuk ج ح خ ketika disambung,K1.SK2.T06,6,Membaca rangkaian tiga huruf yang memuat ج ح خ,Mampu membaca unit L3 dengan harakat pendek,ACTIVE_CANDIDATE
2,QJ2-P002,K1,Membaca huruf hijaiyah bersambung,K1.SK2,Mengenali dan membaca perubahan bentuk ج ح خ ketika disambung,K1.SK2.T07,7,Membaca kata Arab bermakna tiga huruf yang memuat keluarga ج ح خ,Mampu membaca bentuk leksikal tanpa memecah huruf,ACTIVE_CANDIDATE
2,QJ2-P002,K1,Membaca huruf hijaiyah bersambung,K1.SK2,Mengenali dan membaca perubahan bentuk ج ح خ ketika disambung,K1.SK2.T08,8,Membedakan sambungan penuh dan sambungan yang terputus oleh ا د ذ ر ز و,Mampu mempertahankan bentuk sambung yang benar,ACTIVE_CANDIDATE
2,QJ2-P002,K1,Membaca huruf hijaiyah bersambung,K1.SK2,Mengenali dan membaca perubahan bentuk ج ح خ ketika disambung,K1.SK2.T09,9,Murojaah transfer keluarga ب ت ث ke unit baru,Mampu membaca unit review tanpa kehilangan kompetensi P001,ACTIVE_CANDIDATE
2,QJ2-P002,K1,Membaca huruf hijaiyah bersambung,K1.SK2,Mengenali dan membaca perubahan bentuk ج ح خ ketika disambung,K1.SK2.T10,10,Transfer mandiri pada kata tiga huruf bermakna,Mampu membaca kata baru yang masih berada dalam batas huruf P001-P002,ACTIVE_CANDIDATE
