StairCode,Description
K1.SK7.T01,Mengenali bentuk ظ ketika disambungkan
K1.SK7.T02,Membaca ظ pada posisi awal rangkaian
K1.SK7.T03,Membaca ظ pada posisi tengah rangkaian
K1.SK7.T04,Membaca ظ pada posisi akhir rangkaian
K1.SK7.T05,Membaca rangkaian 2 huruf dengan fokus ظ
K1.SK7.T06,Membaca rangkaian 3 huruf dengan fokus ظ
K1.SK7.T07,Membedakan bentuk ظ dari ط yang sudah dipelajari
K1.SK7.T08,Membaca ظ secara acak tanpa bantuan pemecahan
K1.SK7.T09,Murojaah bentuk sambung huruf sebelumnya bersama ظ
K1.SK7.T10,Membaca fokus ظ secara mandiri tanpa mad hamzah atau huruf masa depan
