Page,StairCode,Description
17,K1.SK17.T01,Mengenali ه berharakat fathah pada kata tiga huruf bermakna
17,K1.SK17.T02,Mengenali ه berharakat kasrah pada kata tiga huruf bermakna
17,K1.SK17.T03,Mengenali ه berharakat dhammah pada kata tiga huruf bermakna
17,K1.SK17.T04,Membaca ه pada posisi awal kata
17,K1.SK17.T05,Membaca ه pada posisi tengah kata
17,K1.SK17.T06,Membaca ه pada posisi akhir kata
17,K1.SK17.T07,Membaca variasi fathah kasrah dhammah bersama ه
17,K1.SK17.T08,Mentransfer ه bersama seluruh huruf yang telah dipelajari
17,K1.SK17.T09,Murojaah acak kata tiga huruf bermakna P001-P016
17,K1.SK17.T10,Membaca mandiri kata tiga huruf bermakna tanpa bantuan pemecahan
