slot,text,meaning_id,function,object_type,competency_status,status
1,الم,Awailus Suwar QS Al-Baqarah 2:1,AWAILUS_SUWAR,QURANIC_OPENING,ALLOWED,CURATED
2,الر,Awailus Suwar QS Yunus 10:1,AWAILUS_SUWAR,QURANIC_OPENING,ALLOWED,CURATED
3,المر,Awailus Suwar QS Ar-Rad 13:1,AWAILUS_SUWAR,QURANIC_OPENING,ALLOWED,CURATED
4,المص,Awailus Suwar QS Al-Araf 7:1,AWAILUS_SUWAR,QURANIC_OPENING,ALLOWED,CURATED
5,طه,Awailus Suwar QS Taha 20:1,AWAILUS_SUWAR,QURANIC_OPENING,ALLOWED,CURATED
6,طسم,Awailus Suwar QS Asy-Syuara 26:1,AWAILUS_SUWAR,QURANIC_OPENING,ALLOWED,CURATED
7,طس,Awailus Suwar QS An-Naml 27:1,AWAILUS_SUWAR,QURANIC_OPENING,ALLOWED,CURATED
8,َ,Fathah,HARAKAT_NAME,HARAKAT_SYMBOL,ALLOWED,CURATED
9,ِ,Kasrah,HARAKAT_NAME,HARAKAT_SYMBOL,ALLOWED,CURATED
10,ُ,Dhammah,HARAKAT_NAME,HARAKAT_SYMBOL,ALLOWED,CURATED
11,ا,Alif,HURUF_NAME,HURUF_BARE,ALLOWED,CURATED
12,ب,Ba,HURUF_NAME,HURUF_BARE,ALLOWED,CURATED
13,ت,Ta,HURUF_NAME,HURUF_BARE,ALLOWED,CURATED
14,ث,Tsa,HURUF_NAME,HURUF_BARE,ALLOWED,CURATED
15,ج,Jim,HURUF_NAME,HURUF_BARE,ALLOWED,CURATED
16,ح,Ha,HURUF_NAME,HURUF_BARE,ALLOWED,CURATED
17,خ,Kha,HURUF_NAME,HURUF_BARE,ALLOWED,CURATED
18,د,Dal,HURUF_NAME,HURUF_BARE,ALLOWED,CURATED
19,ذ,Dzal,HURUF_NAME,HURUF_BARE,ALLOWED,CURATED
20,ر,Ra,HURUF_NAME,HURUF_BARE,ALLOWED,CURATED
21,ز,Zai,HURUF_NAME,HURUF_BARE,ALLOWED,CURATED
22,س,Sin,HURUF_NAME,HURUF_BARE,ALLOWED,CURATED
23,ش,Syin,HURUF_NAME,HURUF_BARE,ALLOWED,CURATED
24,ص,Shad,HURUF_NAME,HURUF_BARE,ALLOWED,CURATED
25,ض,Dhad,HURUF_NAME,HURUF_BARE,ALLOWED,CURATED
26,ط,Tha,HURUF_NAME,HURUF_BARE,ALLOWED,CURATED
27,ظ,Zha,HURUF_NAME,HURUF_BARE,ALLOWED,CURATED
28,ع,Ain,HURUF_NAME,HURUF_BARE,ALLOWED,CURATED
29,غ,Ghain,HURUF_NAME,HURUF_BARE,ALLOWED,CURATED
30,ف,Fa,HURUF_NAME,HURUF_BARE,ALLOWED,CURATED
31,ق,Qaf,HURUF_NAME,HURUF_BARE,ALLOWED,CURATED
32,ك,Kaf,HURUF_NAME,HURUF_BARE,ALLOWED,CURATED
