Page,Code,Stage,Focus,UnitPattern,AcquisitionType,ReviewPolicy,Status
1,QJ2-P001,JOINED_FORMS,Konsep sambung dengan ب,24xL3,ACQUISITION,CUMULATIVE_COMPETENCY_REVIEW,ACTIVE
2,QJ2-P002,JOINED_FORMS,ب ت ث: satu kerangka beda titik,24xL3,ACQUISITION,CUMULATIVE_COMPETENCY_REVIEW,ACTIVE
3,QJ2-P003,JOINED_FORMS,ب ت ث ن ي: kontras posisi,24xL3,ACQUISITION,CUMULATIVE_COMPETENCY_REVIEW,ACTIVE
4,QJ2-P004,JOINED_FORMS,ج ح خ: keluarga mangkuk,24xL3,ACQUISITION,CUMULATIVE_COMPETENCY_REVIEW,ACTIVE
5,QJ2-P005,JOINED_FORMS,د ذ ر ز: pemutus sambungan,24xL3,ACQUISITION,CUMULATIVE_COMPETENCY_REVIEW,ACTIVE
6,QJ2-P006,JOINED_FORMS,ا و: pemutus dalam rangkaian,24xL3,ACQUISITION,CUMULATIVE_COMPETENCY_REVIEW,ACTIVE
7,QJ2-P007,JOINED_FORMS,س ش: keluarga gigi,24xL3,ACQUISITION,CUMULATIVE_COMPETENCY_REVIEW,ACTIVE
8,QJ2-P008,JOINED_FORMS,ص ض: keluarga mangkuk tebal,24xL3,ACQUISITION,CUMULATIVE_COMPETENCY_REVIEW,ACTIVE
9,QJ2-P009,JOINED_FORMS,ط ظ: batang tegak,24xL3,ACQUISITION,CUMULATIVE_COMPETENCY_REVIEW,ACTIVE
10,QJ2-P010,JOINED_FORMS,Evaluasi bentuk I,24xL3,EVALUATION,CUMULATIVE_COMPETENCY_REVIEW,ACTIVE
11,QJ2-P011,JOINED_FORMS,ف ق: kepala ekor titik,24xL3,ACQUISITION,CUMULATIVE_COMPETENCY_REVIEW,ACTIVE
12,QJ2-P012,JOINED_FORMS,ك: perubahan khas tiap posisi,24xL3,ACQUISITION,CUMULATIVE_COMPETENCY_REVIEW,ACTIVE
13,QJ2-P013,JOINED_FORMS,ل م: perubahan alur sambung,24xL3,ACQUISITION,CUMULATIVE_COMPETENCY_REVIEW,ACTIVE
14,QJ2-P014,JOINED_FORMS,ع غ: variasi awal tengah akhir,24xL3,ACQUISITION,CUMULATIVE_COMPETENCY_REVIEW,ACTIVE
15,QJ2-P015,JOINED_FORMS,ه: bentuk unik berubah,24xL3,ACQUISITION,CUMULATIVE_COMPETENCY_REVIEW,ACTIVE
16,QJ2-P016,JOINED_FORMS,ت ة ه: ta panjang ta bulat ha,24xL3,ACQUISITION,CUMULATIVE_COMPETENCY_REVIEW,ACTIVE
17,QJ2-P017,JOINED_FORMS,ي ى: kontras bentuk akhir,24xL3,ACQUISITION,CUMULATIVE_COMPETENCY_REVIEW,ACTIVE
18,QJ2-P018,JOINED_FORMS,ء أ إ ؤ ئ: kursi hamzah,24xL3,ACQUISITION,CUMULATIVE_COMPETENCY_REVIEW,ACTIVE
