PageNumber,PageCode,TahfidzStatus,TahfidzText,TahfidzRef,BahasaArabStatus,BahasaArabText,BahasaArabMeaning,NidomStatus,NidomText,NidomMeaning
"1","QJ1-P001","MAPPED_J1_V1","قُلْ أَعُوذُ بِرَبِّ النَّاسِ","An-Nas 1","FROZEN_BASELINE","السَّلَامُ عَلَيْكُمْ","Salam","SPIRAL_J1_V1","أَفْشُوا السَّلَامَ بَيْنَكُمْ","Biasakan salam saat bertemu, masuk ruang, dan memulai belajar."
"2","QJ1-P002","MAPPED_J1_V1","مَلِكِ النَّاسِ","An-Nas 2","FROZEN_BASELINE","وَعَلَيْكُمُ السَّلَامُ","Jawab salam","SPIRAL_J1_V1","أَفْشُوا السَّلَامَ بَيْنَكُمْ","Biasakan salam saat bertemu, masuk ruang, dan memulai belajar."
"3","QJ1-P003","MAPPED_J1_V1","إِلَٰهِ النَّاسِ","An-Nas 3","FROZEN_BASELINE","هَيَّا نَبْدَأْ","Ayo kita mulai","SPIRAL_J1_V1","أَفْشُوا السَّلَامَ بَيْنَكُمْ","Biasakan salam saat bertemu, masuk ruang, dan memulai belajar."
"4","QJ1-P004","MAPPED_J1_V1","مِن شَرِّ الْوَسْوَاسِ الْخَنَّاسِ","An-Nas 4","FROZEN_BASELINE","أَنَا مُسْتَعِدٌّ","Saya siap","SPIRAL_J1_V1","أَفْشُوا السَّلَامَ بَيْنَكُمْ","Biasakan salam saat bertemu, masuk ruang, dan memulai belajar."
"5","QJ1-P005","MAPPED_J1_V1","الَّذِي يُوَسْوِسُ فِي صُدُورِ النَّاسِ","An-Nas 5","FROZEN_BASELINE","اِسْمَعْ","Dengarkan","SPIRAL_J1_V1","أَفْشُوا السَّلَامَ بَيْنَكُمْ","Biasakan salam saat bertemu, masuk ruang, dan memulai belajar."
"6","QJ1-P006","MAPPED_J1_V1","مِنَ الْجِنَّةِ وَالنَّاسِ","An-Nas 6","FROZEN_BASELINE","السَّلَامُ عَلَيْكُمْ • هَيَّا نَبْدَأْ • اِسْمَعْ","Latihan kumulatif","SPIRAL_J1_V1","أَفْشُوا السَّلَامَ بَيْنَكُمْ","Biasakan salam saat bertemu, masuk ruang, dan memulai belajar."
"7","QJ1-P007","MAPPED_J1_V1","قُلْ أَعُوذُ بِرَبِّ الْفَلَقِ","Al-Falaq 1","FROZEN_BASELINE","اُنْظُرْ","Perhatikan","SPIRAL_J1_V1","أَفْشُوا السَّلَامَ بَيْنَكُمْ","Biasakan salam saat bertemu, masuk ruang, dan memulai belajar."
"8","QJ1-P008","MAPPED_J1_V1","مِن شَرِّ مَا خَلَقَ","Al-Falaq 2","FROZEN_BASELINE","قُلْ","Ucapkan","SPIRAL_J1_V1","أَفْشُوا السَّلَامَ بَيْنَكُمْ","Biasakan salam saat bertemu, masuk ruang, dan memulai belajar."
"9","QJ1-P009","MAPPED_J1_V1","وَمِن شَرِّ غَاسِقٍ إِذَا وَقَبَ","Al-Falaq 3","FROZEN_BASELINE","كَرِّرْ","Ulangi","SPIRAL_J1_V1","أَفْشُوا السَّلَامَ بَيْنَكُمْ","Biasakan salam saat bertemu, masuk ruang, dan memulai belajar."
"10","QJ1-P010","MAPPED_J1_V1","وَمِن شَرِّ النَّفَّاثَاتِ فِي الْعُقَدِ","Al-Falaq 4","FROZEN_BASELINE","بِبُطْءٍ","Pelan-pelan","SPIRAL_J1_V1","أَفْشُوا السَّلَامَ بَيْنَكُمْ","Biasakan salam saat bertemu, masuk ruang, dan memulai belajar."
