item_id,page_id,order,arabic,declared_letters,computed_letters,sukun_carriers,target_sukun,function,mad,tanwin,source_type,tashih_status,validation_flags
"QJ3-P001-I01","QJ3-P001","1","أَمْرٌ","3","3","م","مْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P001-I02","QJ3-P001","2","عُمْرٌ","3","3","م","مْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P001-I03","QJ3-P001","3","شَمْسٌ","3","3","م","مْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P001-I04","QJ3-P001","4","رَمْلٌ","3","3","م","مْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P001-I05","QJ3-P001","5","حَمْلٌ","3","3","م","مْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P001-I06","QJ3-P001","6","نَمْلٌ","3","3","م","مْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P001-I07","QJ3-P001","7","سَمْعٌ","3","3","م","مْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P001-I08","QJ3-P001","8","جَمْعٌ","3","3","م","مْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P001-I09","QJ3-P001","9","لَمْسٌ","3","3","م","مْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P001-I10","QJ3-P001","10","هَمْسٌ","3","3","م","مْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P001-I11","QJ3-P001","11","خَمْسٌ","3","3","م","مْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P001-I12","QJ3-P001","12","رَمْزٌ","3","3","م","مْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
